symbol,ask,bid,previousClose,open,dividendYield,dividendPerShare,dividendPayDate,exDividendDate,tradeDate,lastTradeDate,lastTradeTime,earningPerShare,EPSEstimateCurrentYear,EPSEstimateNextYear,EPSEstimateNextQuarter,bookValue,EBITDA,priceSale,priceBook,pe,peg,peCurrentYear,peNextYear,shortRatio,revenue,holdingsValue,dayValueChange,holdingGainPercent,annualizedGain,holdingsGain,askSize,bidSize,lastTradeSize,averageDailyVolume,marketCapitalization,floatShares,name,sharesOwned,stockExchange,sharesOutstanding,commission,oneYearTargetPrice,
"XLRN",35.00,N/A,31.09,30.93,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",-1.56,-1.20,-1.48,-0.08,4.23,-52.95M,59.12,7.36,N/A,0.00,N/A,N/A,10.85,17.39M,N/A,N/A,N/A,N/A,N/A,300,N/A,5615,178245,1.06B,28058000,"Acceleron Pharma Inc.",N/A,"NGM",33059000,N/A,56.57
"ANCX",23.00,N/A,20.43,20.42,3.04,0.60,"8/25/2015","7/30/2015",N/A,"9/10/2015","4:00pm",1.53,1.41,1.38,0.34,9.94,0.00,3.49,2.06,13.20,1.74,14.30,14.62,7.59,61.64M,N/A,N/A,N/A,N/A,N/A,100,N/A,314,62619,212.17M,6711000,"Access National Corporation",N/A,"NGM",10519000,N/A,20.83
"ARAY",6.46,6.40,6.32,6.31,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",-0.51,-0.26,0.03,-0.07,0.95,-7.18M,1.33,6.63,N/A,0.10,N/A,214.67,20.34,379.80M,N/A,N/A,N/A,N/A,N/A,100,100,29221,1041420,513.56M,73899000,"Accuray Incorporated",N/A,"NMS",79745000,N/A,10.13
"VXDN",2.02,1.43,1.90,1.90,N/A,N/A,"8/24/2015",N/A,N/A,"9/10/2015","11:04am",N/A,N/A,N/A,0.00,0.00,0.00,N/A,N/A,N/A,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,1100,200,1000,30580,N/A,N/A,N/A,N/A,"NGM",N/A,N/A,N/A
"VXUP",1.59,N/A,1.54,1.55,N/A,N/A,"8/28/2015","6/16/2015",N/A,"9/10/2015","3:33pm",N/A,N/A,N/A,0.00,0.00,0.00,N/A,N/A,N/A,0.00,N/A,N/A,0.00,N/A,N/A,N/A,N/A,N/A,N/A,400,N/A,100,46650,N/A,N/A,N/A,N/A,"NGM",N/A,N/A,N/A
"ACRX",4.10,3.95,3.93,3.90,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",-0.90,-0.54,-0.71,0.09,0.75,-34.07M,24.37,5.23,N/A,0.00,N/A,N/A,11.95,7.16M,N/A,N/A,N/A,N/A,N/A,1900,100,3392,578070,175.72M,24684000,"AcelRx Pharmaceuticals, Inc.",N/A,"NGM",44374000,N/A,6.10
"ACET",24.40,23.20,22.14,22.13,1.08,0.24,"6/25/2015","6/9/2015",N/A,"9/10/2015","4:00pm",0.88,0.99,1.26,0.26,8.26,57.71M,1.19,2.68,25.12,1.12,22.35,17.56,5.09,539.94M,N/A,N/A,N/A,N/A,N/A,1100,300,5685,161572,644.31M,28263000,"Aceto Corporation",N/A,"NMS",29115000,N/A,28.50
"AKAO",8.50,6.10,6.66,6.66,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",-1.13,-1.43,-1.99,-0.55,3.33,-19.99M,4.69,2.00,N/A,0.00,N/A,N/A,4.24,25.70M,N/A,N/A,N/A,N/A,N/A,1000,3000,552,154389,118.11M,9900000,"Achaogen, Inc.",N/A,"NGM",18115000,N/A,16.43
"ACHN",7.79,7.73,7.65,7.59,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",-0.80,-0.28,-0.52,0.02,2.05,-85.43M,1467.48,3.73,N/A,-1.55,N/A,N/A,10.82,711000.00,N/A,N/A,N/A,N/A,N/A,1000,200,N/A,2580220,1.05B,107810000,"Achillion Pharmaceuticals, Inc.",N/A,"NMS",136389000,N/A,12.94
"ACIW",25.00,17.72,21.42,21.32,N/A,N/A,N/A,N/A,N/A,"9/10/2015","4:00pm",0.76,0.79,0.81,0.48,5.08,212.37M,2.43,4.22,28.21,2.71,27.06,26.40,4.89,1.04B,N/A,N/A,N/A,N/A,N/A,100,100,13048,665252,2.52B,115313000,"ACI Worldwide, Inc.",N/A,"NMS",117797000,N/A,25.50
