symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
MDR,2013-09-30,False,Q3,2013,10-Q,686856000.0,-52654000.0,-64070000.0,-0.27,-0.27,0.0,3157281000.0,1392227000.0,1165652000.0,282370000.0,1738452000.0,-168110000.0,-167759000.0,-22093000.0
MHP,2012-12-31,False,FY,2012,10-K,4450000000.0,1211000000.0,437000000.0,1.57,1.53,1.02,7052000000.0,3899000000.0,3667000000.0,760000000.0,840000000.0,747000000.0,-247000000.0,-905000000.0
MHP,2013-03-31,False,Q1,2013,10-Q,1181000000.0,278000000.0,735000000.0,2.62,2.59,0.28,6270000000.0,3181000000.0,2688000000.0,1905000000.0,1082000000.0,-47000000.0,-22000000.0,-971000000.0
MCK,2013-06-30,False,Q1,2014,10-Q,32208000000.0,647000000.0,424000000.0,1.86,1.83,0.2,35491000000.0,24067000000.0,21481000000.0,2905000000.0,7408000000.0,716000000.0,-184000000.0,-73000000.0
MHP,2013-06-30,False,Q2,2013,10-Q,1250000000.0,436000000.0,254000000.0,0.93,0.91,0.28,6160000000.0,3107000000.0,2395000000.0,1900000000.0,1271000000.0,226000000.0,-43000000.0,-1044000000.0
MCK,2013-09-30,False,Q2,2014,10-Q,32954000000.0,679000000.0,404000000.0,1.76,1.74,0.24,35947000000.0,24545000000.0,21379000000.0,2960000000.0,7989000000.0,813000000.0,-274000000.0,-37000000.0
MHP,2012-12-31,False,FY,2012,10-K,4450000000.0,1211000000.0,437000000.0,1.57,1.53,1.02,7052000000.0,3899000000.0,3667000000.0,760000000.0,840000000.0,747000000.0,-247000000.0,-905000000.0
MED,2013-03-31,False,Q1,2013,10-Q,96043000.0,8578000.0,5933000.0,0.43,0.43,0.0,135804000.0,94891000.0,31238000.0,49230000.0,97306000.0,14780000.0,-2072000.0,-3415000.0
MED,2012-12-31,False,FY,2012,10-K,356706000.0,23262000.0,15876000.0,1.16,1.16,0.0,130251000.0,88575000.0,28749000.0,39937000.0,90786000.0,40264000.0,-11664000.0,-2925000.0
MED,2013-09-30,False,Q3,2013,10-Q,86480000.0,7349000.0,5673000.0,0.41,0.41,0.0,148396000.0,106856000.0,30558000.0,47980000.0,111338000.0,34093000.0,-22804000.0,-3246000.0
MED,2013-06-30,False,Q2,2013,10-Q,97072000.0,10641000.0,7073000.0,0.51,0.51,0.0,142441000.0,101190000.0,30929000.0,44405000.0,104548000.0,27717000.0,-19855000.0,-3394000.0
MPW,2013-06-30,False,Q2,2013,10-Q,57473000.0,38793000.0,27348000.0,0.18,0.18,0.2,2254476000.0,,,26072000.0,1222840000.0,56245000.0,-87769000.0,20285000.0
MHFI,2013-09-30,False,Q3,2013,10-Q,1194000000.0,407000000.0,215000000.0,0.79,0.77,0.28,5848000000.0,2828000000.0,2359000000.0,1577000000.0,1015000000.0,499000000.0,-18000000.0,-1600000000.0
MPW,2013-03-31,False,Q1,2013,10-Q,58440000.0,41369000.0,26156000.0,0.19,0.18,0.2,2227196000.0,,,75675000.0,1221571000.0,27051000.0,-12236000.0,23549000.0
MPW,2013-09-30,False,Q3,2013,10-Q,60456000.0,40650000.0,25648000.0,0.16,0.16,0.2,2563150000.0,,,12124000.0,1358569000.0,101564000.0,-413264000.0,286513000.0
MEG,2013-03-31,False,Q1,2013,10-Q,73939000.0,5766000.0,-17695000.0,-0.61,-0.61,0.0,734704000.0,88343000.0,50214000.0,19387000.0,-191730000.0,-15490000.0,-2138000.0,213000.0
MPW,2012-12-31,False,FY,2012,10-K,201397000.0,132355000.0,89900000.0,0.67,0.67,0.8,2178886000.0,,,37311000.0,1049814000.0,105309000.0,-617128000.0,446404000.0
MEG,2013-09-30,False,Q3,2013,10-Q,78489000.0,8198000.0,-14616000.0,-0.53,-0.53,0.0,749876000.0,92880000.0,56120000.0,15415000.0,-217189000.0,-27823000.0,-10490000.0,16926000.0
MEG,2012-12-31,False,FY,2012,10-K,359722000.0,86665000.0,-193417000.0,-1.68,-1.68,0.0,773421000.0,114451000.0,76498000.0,36802000.0,-176224000.0,36389000.0,114726000.0,-137421000.0
