symbol,end_date,amend,period_focus,fiscal_year,doc_type,revenues,op_income,net_income,eps_basic,eps_diluted,dividend,assets,cur_assets,cur_liab,cash,equity,cash_flow_op,cash_flow_inv,cash_flow_fin
CMLS,2011-06-30,False,Q2,2011,10-Q,69178000.0,17347000.0,1341000.0,0.03,0.03,0.0,367201000.0,79148000.0,32761000.0,29553000.0,-322476000.0,20322000.0,-1675000.0,-1908000.0
CMLS,2011-09-30,False,Q3,2011,10-Q,132303000.0,-3409000.0,59538000.0,0.64,0.6,0.0,4072080000.0,344556000.0,167329000.0,47076000.0,306393000.0,32334000.0,-2027038000.0,2028966000.0
CUGI,2011-06-30,False,Q2,2011,10-Q,9878862.0,217854.0,-220711.0,0.0,0.0,0.0,35679749.0,12045151.0,9447123.0,214058.0,12207415.0,503168.0,-183729.0,-201936.0
CUGI,2011-09-30,False,Q3,2011,10-Q,10728215.0,378165.0,424323.0,0.0,0.0,0.0,32783612.0,8634554.0,9774182.0,143750.0,12705747.0,264625.0,-339817.0,212913.0
CPIX,2011-06-30,False,Q2,2011,10-Q,14389741.0,3631857.0,2177619.0,0.11,0.11,0.0,94581055.0,84343879.0,10727930.0,69832030.0,81425075.0,4935347.0,-152182.0,-845105.0
CPIX,2011-09-30,False,Q3,2011,10-Q,13054278.0,3098360.0,1847412.0,0.09,0.09,0.0,96078666.0,85878391.0,7453231.0,71074807.0,83457057.0,7692058.0,-382241.0,-2128980.0
CTIC,2010-09-30,False,Q3,2010,10-Q,,-12994000.0,-15607000.0,-0.02,-0.02,0.0,46613000.0,20081000.0,25873000.0,17268000.0,-5716000.0,-50356000.0,-1150000.0,30616000.0
CTIC,2011-06-30,False,Q2,2011,10-Q,,-16919000.0,-22508000.0,-0.14,-0.14,0.0,56583000.0,42794000.0,36778000.0,38887000.0,2902000.0,-38667000.0,-1167000.0,57130000.0
CTIC,2011-09-30,False,Q3,2011,10-Q,,-15290000.0,-29685000.0,-0.16,-0.16,0.0,62850000.0,49904000.0,30808000.0,45212000.0,15493000.0,-54790000.0,-1947000.0,79239000.0
CTCM,2010-06-30,False,Q2,2010,10-Q,130499000.0,32809000.0,20904000.0,0.13,0.13,0.07,861797000.0,319759000.0,121941000.0,28880000.0,705870000.0,50718000.0,-81259000.0,-25614000.0
CTCM,2010-09-30,False,Q3,2010,10-Q,125265000.0,37257000.0,24299000.0,0.16,0.16,0.07,921303000.0,352239000.0,130920000.0,41676000.0,755652000.0,71807000.0,-87830000.0,-26894000.0
CTCM,2010-12-31,False,FY,2010,10-K,601285000.0,207118000.0,145731000.0,0.94,0.93,0.0,999460000.0,385620000.0,166761000.0,59565000.0,794641000.0,185552000.0,-130525000.0,-79820000.0
CTCM,2011-03-31,False,Q1,2011,10-Q,165541000.0,35928000.0,22792000.0,0.15,0.14,0.16,1055438000.0,395187000.0,153282000.0,81547000.0,860606000.0,12280000.0,26840000.0,-21400000.0
CTCM,2011-06-30,False,Q2,2011,10-Q,204484000.0,61745000.0,38468000.0,0.24,0.24,0.22,1063343000.0,335924000.0,131948000.0,34521000.0,885939000.0,38557000.0,-9627000.0,-58019000.0
CTCM,2011-09-30,False,Q3,2011,10-Q,159578000.0,26518000.0,16393000.0,0.1,0.1,0.22,968008000.0,337337000.0,168811000.0,56848000.0,761829000.0,56993000.0,-1867000.0,-59175000.0
CTRP,2010-12-31,False,FY,2010,20-F,3066713021.0,159715954.0,158798447.0,29.62,27.89,0.0,8116204013.0,4570908450.0,1880898515.0,2153935111.0,6189922788.0,1550217832.0,-369757650.0,1625347819.0
CTIB,2011-06-30,False,Q2,2011,10-Q,11964764.0,149712.0,13355.0,0.0,0.0,0.0,33336052.0,22367844.0,16698522.0,493559.0,12496978.0,1074394.0,-545473.0,-824793.0
CTIB,2011-09-30,False,Q3,2011,10-Q,11730972.0,323526.0,18119.0,0.01,0.01,0.05,33375246.0,22667978.0,17655503.0,437637.0,11659173.0,-243574.0,-796222.0,711510.0
GSJK,2011-09-30,False,Q3,2011,10-Q,24620000.0,,3291000.0,,0.21,0.0,210100000.0,51906000.0,14910000.0,19566000.0,,11710000.0,-8603000.0,9908000.0
GSJK,2011-06-30,False,Q2,2011,10-Q,22326000.0,,553000.0,,,0.0,204056000.0,48194000.0,10742000.0,19333000.0,,5203000.0,-3625000.0,11007000.0
CSPI,2011-06-30,False,Q3,2011,10-Q,19681000.0,-271000.0,-214000.0,-0.06,-0.06,0.0,41430000.0,35900000.0,13273000.0,17482000.0,18851000.0,2419000.0,-389000.0,-374000.0
CYBE,2011-09-30,False,Q3,2011,10-Q,17088000.0,2069000.0,1566000.0,0.23,0.22,0.0,62069000.0,51179000.0,9061000.0,11046000.0,52241000.0,5056000.0,-2565000.0,213000.0
CYAN,2011-09-30,False,Q2,2011,10-Q,5989000.0,913000.0,875000.0,0.16,0.16,0.0,15726000.0,10045000.0,2556000.0,4091000.0,12677000.0,2779000.0,-716000.0,-34000.0
CYBX,2011-10-28,False,Q2,2012,10-Q,53695061.0,15066739.0,9027774.0,0.32,0.32,0.0,197691327.0,129521012.0,26294371.0,69830955.0,165246266.0,31646264.0,-19732296.0,-31955474.0
CYNO,2011-09-30,False,Q3,2011,10-Q,28277000.0,,-792000.0,-0.06,-0.06,0.0,147415000.0,112183000.0,28452000.0,31388000.0,118180000.0,-2120000.0,6450000.0,-303000.0
